Tariff_ID,Timestamp,Tariff_Rate,Tariff_Type,TOU_Period_Start,TOU_Period_End,Weather_Conditions,Grid_Load (MW),Forecasted_Tariff_Rate,Renewable_Energy_Contribution (%)
16,2024-10-01 02:13:55.200,0.09,Super Off-Peak,22:13:55.200000,03:13:55.200000,Clear,1188,0.09,26
17,2024-10-01 02:22:50.880,0.1,Mid-Peak,02:22:50.880000,06:22:50.880000,Clear,1349,0.08,21
18,2024-10-01 02:31:46.560,0.08,Mid-Peak,00:31:46.560000,05:31:46.560000,Clear,802,0.06,47
19,2024-10-01 02:40:42.240,0.17,Mid-Peak,20:40:42.240000,06:40:42.240000,Windy,1429,0.18,42
20,2024-10-01 02:49:37.920,0.1,Peak,20:49:37.920000,04:49:37.920000,Clear,1238,0.11,42
21,2024-10-01 02:58:33.600,0.18,Mid-Peak,02:58:33.600000,04:58:33.600000,Sunny,1321,0.18,17
22,2024-10-01 03:07:29.280,0.15,Off-Peak,23:07:29.280000,08:07:29.280000,Windy,1081,0.14,54
23,2024-10-01 03:16:24.960,0.13,Peak,00:16:24.960000,04:16:24.960000,Windy,1583,0.11,50
24,2024-10-01 03:25:20.640,0.15,Mid-Peak,22:25:20.640000,07:25:20.640000,Clear,819,0.16,36
25,2024-10-01 03:34:16.320,0.15,Off-Peak,01:34:16.320000,06:34:16.320000,Cloudy,1915,0.17,37
26,2024-10-01 03:43:12.000,0.15,Off-Peak,23:43:12,04:43:12,Clear,1405,0.17,37
27,2024-10-01 03:52:07.680,0.07,Mid-Peak,03:52:07.680000,05:52:07.680000,Windy,1844,0.07,55
28,2024-10-01 04:01:03.360,0.11,Off-Peak,03:01:03.360000,10:01:03.360000,Partly Cloudy,1795,0.09,34
29,2024-10-01 04:09:59.040,0.17,Mid-Peak,01:09:59.040000,05:09:59.040000,Cloudy,884,0.15,29
30,2024-10-01 04:18:54.720,0.16,Mid-Peak,23:18:54.720000,05:18:54.720000,Partly Cloudy,1419,0.16,55
31,2024-10-01 04:27:50.400,0.06,Off-Peak,02:27:50.400000,06:27:50.400000,Partly Cloudy,991,0.08,10
32,2024-10-01 04:36:46.080,0.17,Super Off-Peak,23:36:46.080000,10:36:46.080000,Clear,1626,0.18,23
33,2024-10-01 04:45:41.760,0.18,Super Off-Peak,04:45:41.760000,05:45:41.760000,Windy,1298,0.18,55
34,2024-10-01 04:54:37.440,0.08,Mid-Peak,04:54:37.440000,08:54:37.440000,Partly Cloudy,1558,0.1,14
35,2024-10-01 05:03:33.120,0.17,Off-Peak,01:03:33.120000,08:03:33.120000,Cloudy,1060,0.16,12
36,2024-10-01 05:12:28.800,0.17,Off-Peak,00:12:28.800000,11:12:28.800000,Partly Cloudy,1645,0.18,27
37,2024-10-01 05:21:24.480,0.12,Off-Peak,05:21:24.480000,06:21:24.480000,Clear,1641,0.12,23
38,2024-10-01 05:30:20.160,0.11,Super Off-Peak,02:30:20.160000,07:30:20.160000,Clear,1722,0.11,36
39,2024-10-01 05:39:15.840,0.07,Mid-Peak,23:39:15.840000,09:39:15.840000,Partly Cloudy,1205,0.09,27
40,2024-10-01 05:48:11.520,0.14,Peak,00:48:11.520000,11:48:11.520000,Windy,1003,0.12,22
41,2024-10-01 05:57:07.200,0.09,Off-Peak,04:57:07.200000,06:57:07.200000,Partly Cloudy,1207,0.1,11
42,2024-10-01 06:06:02.880,0.15,Peak,01:06:02.880000,10:06:02.880000,Rainy,1670,0.17,49
43,2024-10-01 06:14:58.560,0.17,Super Off-Peak,06:14:58.560000,12:14:58.560000,Cloudy,1874,0.18,44
44,2024-10-01 06:23:54.240,0.13,Off-Peak,01:23:54.240000,12:23:54.240000,Clear,1010,0.12,53
45,2024-10-01 06:32:49.920,0.16,Off-Peak,04:32:49.920000,11:32:49.920000,Partly Cloudy,946,0.18,58
46,2024-10-01 06:41:45.600,0.18,Peak,03:41:45.600000,08:41:45.600000,Cloudy,1093,0.16,23
47,2024-10-01 06:50:41.280,0.09,Super Off-Peak,01:50:41.280000,11:50:41.280000,Windy,884,0.07,52
48,2024-10-01 06:59:36.960,0.08,Off-Peak,04:59:36.960000,12:59:36.960000,Sunny,1158,0.07,50
49,2024-10-01 07:08:32.640,0.17,Off-Peak,07:08:32.640000,10:08:32.640000,Rainy,1987,0.18,13
50,2024-10-01 07:17:28.320,0.08,Off-Peak,03:17:28.320000,09:17:28.320000,Cloudy,936,0.09,50
51,2024-10-01 07:26:24.000,0.08,Mid-Peak,01:26:24,13:26:24,Partly Cloudy,1857,0.08,25
52,2024-10-01 07:35:19.680,0.11,Off-Peak,06:35:19.680000,09:35:19.680000,Sunny,1165,0.09,29
53,2024-10-01 07:44:15.360,0.2,Mid-Peak,03:44:15.360000,08:44:15.360000,Sunny,1118,0.2,32
54,2024-10-01 07:53:11.040,0.1,Mid-Peak,07:53:11.040000,08:53:11.040000,Cloudy,1251,0.11,10
55,2024-10-01 08:02:06.720,0.18,Super Off-Peak,02:02:06.720000,11:02:06.720000,Partly Cloudy,967,0.17,47
56,2024-10-01 08:11:02.400,0.1,Peak,07:11:02.400000,11:11:02.400000,Partly Cloudy,1436,0.11,51
57,2024-10-01 08:19:58.080,0.15,Peak,04:19:58.080000,14:19:58.080000,Rainy,1811,0.17,19
58,2024-10-01 08:28:53.760,0.05,Peak,03:28:53.760000,11:28:53.760000,Cloudy,1982,0.05,41
59,2024-10-01 08:37:49.440,0.1,Off-Peak,03:37:49.440000,09:37:49.440000,Cloudy,949,0.1,43
60,2024-10-01 08:46:45.120,0.18,Off-Peak,04:46:45.120000,12:46:45.120000,Windy,1648,0.18,20
61,2024-10-01 08:55:40.800,0.19,Off-Peak,08:55:40.800000,09:55:40.800000,Windy,985,0.19,50
62,2024-10-01 09:04:36.480,0.08,Peak,05:04:36.480000,11:04:36.480000,Rainy,1939,0.07,21
63,2024-10-01 09:13:32.160,0.18,Peak,08:13:32.160000,11:13:32.160000,Clear,1598,0.18,56
64,2024-10-01 09:22:27.840,0.07,Super Off-Peak,04:22:27.840000,14:22:27.840000,Partly Cloudy,1607,0.05,41
65,2024-10-01 09:31:23.520,0.14,Mid-Peak,09:31:23.520000,12:31:23.520000,Partly Cloudy,1103,0.16,28
66,2024-10-01 09:40:19.200,0.08,Peak,04:40:19.200000,15:40:19.200000,Windy,1847,0.09,17
67,2024-10-01 09:49:14.880,0.08,Off-Peak,05:49:14.880000,15:49:14.880000,Windy,1082,0.08,35
68,2024-10-01 09:58:10.560,0.17,Super Off-Peak,07:58:10.560000,10:58:10.560000,Clear,1172,0.19,38
69,2024-10-01 10:07:06.240,0.08,Mid-Peak,05:07:06.240000,11:07:06.240000,Partly Cloudy,848,0.09,12
70,2024-10-01 10:16:01.920,0.07,Super Off-Peak,08:16:01.920000,11:16:01.920000,Sunny,1165,0.05,49
71,2024-10-01 10:24:57.600,0.16,Mid-Peak,07:24:57.600000,15:24:57.600000,Cloudy,862,0.17,55
72,2024-10-01 10:33:53.280,0.19,Off-Peak,07:33:53.280000,16:33:53.280000,Windy,1320,0.18,37
73,2024-10-01 10:42:48.960,0.17,Mid-Peak,10:42:48.960000,14:42:48.960000,Partly Cloudy,1765,0.18,25
74,2024-10-01 10:51:44.640,0.12,Mid-Peak,08:51:44.640000,13:51:44.640000,Windy,1383,0.13,51
75,2024-10-01 11:00:40.320,0.07,Peak,10:00:40.320000,17:00:40.320000,Windy,889,0.08,41
76,2024-10-01 11:09:36.000,0.07,Super Off-Peak,07:09:36,14:09:36,Sunny,1601,0.07,48
77,2024-10-01 11:18:31.680,0.18,Super Off-Peak,09:18:31.680000,13:18:31.680000,Cloudy,1863,0.19,16
78,2024-10-01 11:27:27.360,0.08,Off-Peak,06:27:27.360000,12:27:27.360000,Clear,1702,0.06,37
79,2024-10-01 11:36:23.040,0.08,Mid-Peak,06:36:23.040000,12:36:23.040000,Cloudy,1928,0.07,29
80,2024-10-01 11:45:18.720,0.1,Mid-Peak,05:45:18.720000,17:45:18.720000,Partly Cloudy,1865,0.09,53
81,2024-10-01 11:54:14.400,0.07,Peak,11:54:14.400000,13:54:14.400000,Sunny,1458,0.05,41
82,2024-10-01 12:03:10.080,0.18,Off-Peak,12:03:10.080000,18:03:10.080000,Clear,1136,0.18,60
83,2024-10-01 12:12:05.760,0.11,Super Off-Peak,07:12:05.760000,17:12:05.760000,Rainy,1552,0.09,12
84,2024-10-01 12:21:01.440,0.13,Mid-Peak,11:21:01.440000,15:21:01.440000,Rainy,1410,0.14,51
85,2024-10-01 12:29:57.120,0.09,Mid-Peak,07:29:57.120000,13:29:57.120000,Windy,900,0.08,32
86,2024-10-01 12:38:52.800,0.12,Mid-Peak,12:38:52.800000,14:38:52.800000,Rainy,1954,0.14,22
87,2024-10-01 12:47:48.480,0.06,Off-Peak,07:47:48.480000,13:47:48.480000,Partly Cloudy,1910,0.06,55
88,2024-10-01 12:56:44.160,0.06,Mid-Peak,09:56:44.160000,13:56:44.160000,Windy,944,0.06,17
89,2024-10-01 13:05:39.840,0.12,Off-Peak,11:05:39.840000,18:05:39.840000,Cloudy,1933,0.11,21
90,2024-10-01 13:14:35.520,0.09,Mid-Peak,13:14:35.520000,19:14:35.520000,Clear,1336,0.08,36
91,2024-10-01 13:23:31.200,0.18,Mid-Peak,09:23:31.200000,19:23:31.200000,Rainy,950,0.17,38
92,2024-10-01 13:32:26.880,0.09,Mid-Peak,11:32:26.880000,16:32:26.880000,Sunny,1279,0.1,53
93,2024-10-01 13:41:22.560,0.19,Mid-Peak,13:41:22.560000,19:41:22.560000,Rainy,1990,0.19,34
94,2024-10-01 13:50:18.240,0.19,Off-Peak,11:50:18.240000,16:50:18.240000,Clear,853,0.19,31
95,2024-10-01 13:59:13.920,0.16,Peak,12:59:13.920000,14:59:13.920000,Clear,1795,0.16,54
96,2024-10-01 14:08:09.600,0.08,Super Off-Peak,13:08:09.600000,17:08:09.600000,Clear,1284,0.08,23
97,2024-10-01 14:17:05.280,0.11,Super Off-Peak,08:17:05.280000,20:17:05.280000,Windy,1786,0.13,25
98,2024-10-01 14:26:00.960,0.14,Mid-Peak,11:26:00.960000,20:26:00.960000,Cloudy,1984,0.12,30
99,2024-10-01 14:34:56.640,0.19,Peak,10:34:56.640000,17:34:56.640000,Cloudy,1701,0.21,16
100,2024-10-01 14:43:52.320,0.1,Mid-Peak,13:43:52.320000,19:43:52.320000,Partly Cloudy,1021,0.08,24
101,2024-10-01 14:52:48.000,0.16,Mid-Peak,11:52:48,16:52:48,Partly Cloudy,1545,0.17,18
102,2024-10-01 15:01:43.680,0.17,Super Off-Peak,13:01:43.680000,19:01:43.680000,Cloudy,859,0.16,52
103,2024-10-01 15:10:39.360,0.18,Peak,09:10:39.360000,20:10:39.360000,Partly Cloudy,943,0.19,33
104,2024-10-01 15:19:35.040,0.12,Super Off-Peak,11:19:35.040000,17:19:35.040000,Partly Cloudy,1659,0.11,45
105,2024-10-01 15:28:30.720,0.14,Mid-Peak,09:28:30.720000,16:28:30.720000,Windy,1637,0.16,37
106,2024-10-01 15:37:26.400,0.08,Peak,10:37:26.400000,20:37:26.400000,Rainy,911,0.1,54
107,2024-10-01 15:46:22.080,0.16,Peak,13:46:22.080000,19:46:22.080000,Clear,1319,0.16,39
108,2024-10-01 15:55:17.760,0.05,Super Off-Peak,12:55:17.760000,20:55:17.760000,Windy,1053,0.03,59
109,2024-10-01 16:04:13.440,0.18,Off-Peak,14:04:13.440000,22:04:13.440000,Rainy,898,0.19,44
110,2024-10-01 16:13:09.120,0.06,Off-Peak,15:13:09.120000,20:13:09.120000,Clear,1705,0.07,22
111,2024-10-01 16:22:04.800,0.07,Peak,14:22:04.800000,22:22:04.800000,Windy,1134,0.05,21
112,2024-10-01 16:31:00.480,0.06,Super Off-Peak,11:31:00.480000,17:31:00.480000,Partly Cloudy,981,0.05,14
113,2024-10-01 16:39:56.160,0.12,Off-Peak,13:39:56.160000,19:39:56.160000,Cloudy,1840,0.12,48
114,2024-10-01 16:48:51.840,0.15,Off-Peak,12:48:51.840000,19:48:51.840000,Cloudy,1795,0.15,18
115,2024-10-01 16:57:47.520,0.1,Off-Peak,15:57:47.520000,21:57:47.520000,Rainy,1647,0.11,41
116,2024-10-01 17:06:43.200,0.14,Mid-Peak,12:06:43.200000,18:06:43.200000,Windy,1604,0.15,16
117,2024-10-01 17:15:38.880,0.17,Mid-Peak,15:15:38.880000,19:15:38.880000,Windy,957,0.19,55
118,2024-10-01 17:24:34.560,0.16,Off-Peak,14:24:34.560000,20:24:34.560000,Rainy,939,0.18,40
119,2024-10-01 17:33:30.240,0.17,Mid-Peak,17:33:30.240000,19:33:30.240000,Cloudy,1724,0.19,40
120,2024-10-01 17:42:25.920,0.06,Peak,12:42:25.920000,21:42:25.920000,Cloudy,1958,0.05,45
121,2024-10-01 17:51:21.600,0.12,Peak,15:51:21.600000,22:51:21.600000,Sunny,825,0.12,29
122,2024-10-01 18:00:17.280,0.17,Peak,13:00:17.280000,00:00:17.280000,Partly Cloudy,1800,0.19,34
123,2024-10-01 18:09:12.960,0.11,Peak,15:09:12.960000,21:09:12.960000,Partly Cloudy,1210,0.13,45
124,2024-10-01 18:18:08.640,0.17,Mid-Peak,12:18:08.640000,22:18:08.640000,Windy,1289,0.18,52
125,2024-10-01 18:27:04.320,0.16,Mid-Peak,18:27:04.320000,21:27:04.320000,Windy,1954,0.18,17
126,2024-10-01 18:36:00.000,0.05,Super Off-Peak,18:36:00,19:36:00,Sunny,1597,0.06,13
127,2024-10-01 18:44:55.680,0.07,Mid-Peak,12:44:55.680000,21:44:55.680000,Sunny,1511,0.06,50
128,2024-10-01 18:53:51.360,0.16,Super Off-Peak,14:53:51.360000,00:53:51.360000,Sunny,1732,0.17,41
129,2024-10-01 19:02:47.040,0.06,Super Off-Peak,19:02:47.040000,21:02:47.040000,Sunny,1208,0.06,27
130,2024-10-01 19:11:42.720,0.11,Super Off-Peak,16:11:42.720000,20:11:42.720000,Rainy,881,0.13,13
131,2024-10-01 19:20:38.400,0.18,Off-Peak,19:20:38.400000,01:20:38.400000,Sunny,1010,0.17,52
132,2024-10-01 19:29:34.080,0.18,Super Off-Peak,17:29:34.080000,21:29:34.080000,Cloudy,1695,0.18,11
133,2024-10-01 19:38:29.760,0.08,Super Off-Peak,13:38:29.760000,20:38:29.760000,Windy,1678,0.1,24
134,2024-10-01 19:47:25.440,0.19,Mid-Peak,15:47:25.440000,20:47:25.440000,Sunny,1037,0.2,25
135,2024-10-01 19:56:21.120,0.15,Mid-Peak,13:56:21.120000,20:56:21.120000,Sunny,1384,0.15,49
136,2024-10-01 20:05:16.800,0.15,Off-Peak,19:05:16.800000,00:05:16.800000,Rainy,1374,0.14,38
137,2024-10-01 20:14:12.480,0.15,Off-Peak,20:14:12.480000,22:14:12.480000,Clear,1306,0.15,12
138,2024-10-01 20:23:08.160,0.09,Mid-Peak,18:23:08.160000,23:23:08.160000,Clear,1881,0.09,25
139,2024-10-01 20:32:03.840,0.17,Peak,15:32:03.840000,00:32:03.840000,Cloudy,1609,0.18,45
140,2024-10-01 20:40:59.520,0.13,Mid-Peak,15:40:59.520000,00:40:59.520000,Sunny,1474,0.11,15
141,2024-10-01 20:49:55.200,0.13,Peak,14:49:55.200000,00:49:55.200000,Clear,1645,0.13,32
142,2024-10-01 20:58:50.880,0.17,Peak,16:58:50.880000,01:58:50.880000,Cloudy,1885,0.16,29
143,2024-10-01 21:07:46.560,0.2,Super Off-Peak,21:07:46.560000,22:07:46.560000,Partly Cloudy,1786,0.2,15
144,2024-10-01 21:16:42.240,0.2,Mid-Peak,16:16:42.240000,23:16:42.240000,Windy,1368,0.2,22
145,2024-10-01 21:25:37.920,0.18,Mid-Peak,21:25:37.920000,22:25:37.920000,Partly Cloudy,1213,0.19,47
146,2024-10-01 21:34:33.600,0.15,Peak,16:34:33.600000,23:34:33.600000,Windy,1848,0.13,31
147,2024-10-01 21:43:29.280,0.1,Mid-Peak,18:43:29.280000,00:43:29.280000,Partly Cloudy,1998,0.1,27
148,2024-10-01 21:52:24.960,0.1,Off-Peak,15:52:24.960000,01:52:24.960000,Cloudy,1868,0.09,16
149,2024-10-01 22:01:20.640,0.15,Mid-Peak,19:01:20.640000,04:01:20.640000,Partly Cloudy,1664,0.13,11
150,2024-10-01 22:10:16.320,0.08,Off-Peak,21:10:16.320000,04:10:16.320000,Sunny,1982,0.07,60
151,2024-10-01 22:19:12.000,0.19,Peak,22:19:12,03:19:12,Cloudy,1725,0.18,11
152,2024-10-01 22:28:07.680,0.12,Off-Peak,22:28:07.680000,01:28:07.680000,Sunny,1591,0.12,22
153,2024-10-01 22:37:03.360,0.08,Super Off-Peak,18:37:03.360000,00:37:03.360000,Cloudy,1469,0.08,42
154,2024-10-01 22:45:59.040,0.2,Mid-Peak,18:45:59.040000,23:45:59.040000,Partly Cloudy,1528,0.19,46
155,2024-10-01 22:54:54.720,0.08,Super Off-Peak,18:54:54.720000,04:54:54.720000,Clear,817,0.07,41
156,2024-10-01 23:03:50.400,0.18,Mid-Peak,19:03:50.400000,02:03:50.400000,Clear,810,0.2,57
157,2024-10-01 23:12:46.080,0.06,Mid-Peak,20:12:46.080000,04:12:46.080000,Clear,1813,0.04,39
158,2024-10-01 23:21:41.760,0.14,Super Off-Peak,17:21:41.760000,02:21:41.760000,Sunny,846,0.12,58
159,2024-10-01 23:30:37.440,0.07,Peak,21:30:37.440000,02:30:37.440000,Windy,1435,0.08,60
160,2024-10-01 23:39:33.120,0.12,Super Off-Peak,18:39:33.120000,05:39:33.120000,Cloudy,1778,0.13,54
161,2024-10-01 23:48:28.800,0.18,Super Off-Peak,22:48:28.800000,02:48:28.800000,Partly Cloudy,1136,0.17,43
162,2024-10-01 23:57:24.480,0.15,Off-Peak,19:57:24.480000,00:57:24.480000,Windy,1104,0.15,36
163,2024-10-02 00:06:20.160,0.18,Super Off-Peak,23:06:20.160000,05:06:20.160000,Sunny,891,0.17,18
164,2024-10-02 00:15:15.840,0.16,Peak,18:15:15.840000,05:15:15.840000,Clear,1241,0.17,28
165,2024-10-02 00:24:11.520,0.17,Super Off-Peak,22:24:11.520000,05:24:11.520000,Clear,1292,0.18,25
166,2024-10-02 00:33:07.200,0.08,Super Off-Peak,22:33:07.200000,02:33:07.200000,Clear,1469,0.07,14
167,2024-10-02 00:42:02.880,0.16,Super Off-Peak,20:42:02.880000,02:42:02.880000,Partly Cloudy,1589,0.14,38
168,2024-10-02 00:50:58.560,0.07,Super Off-Peak,23:50:58.560000,06:50:58.560000,Sunny,1028,0.08,15
169,2024-10-02 00:59:54.240,0.1,Off-Peak,19:59:54.240000,04:59:54.240000,Cloudy,843,0.08,12
170,2024-10-02 01:08:49.920,0.06,Peak,23:08:49.920000,07:08:49.920000,Clear,1701,0.06,43
171,2024-10-02 01:17:45.600,0.13,Mid-Peak,21:17:45.600000,04:17:45.600000,Windy,941,0.15,20
172,2024-10-02 01:26:41.280,0.13,Off-Peak,23:26:41.280000,06:26:41.280000,Sunny,1927,0.12,27
173,2024-10-02 01:35:36.960,0.13,Off-Peak,01:35:36.960000,02:35:36.960000,Windy,955,0.14,31
174,2024-10-02 01:44:32.640,0.19,Peak,19:44:32.640000,03:44:32.640000,Clear,1821,0.18,57
175,2024-10-02 01:53:28.320,0.12,Peak,00:53:28.320000,02:53:28.320000,Windy,1386,0.11,37
176,2024-10-02 02:02:24.000,0.06,Mid-Peak,02:02:24,06:02:24,Rainy,888,0.05,20
177,2024-10-02 02:11:19.680,0.11,Peak,20:11:19.680000,08:11:19.680000,Sunny,1469,0.11,24
178,2024-10-02 02:20:15.360,0.07,Mid-Peak,22:20:15.360000,06:20:15.360000,Windy,1153,0.08,32
179,2024-10-02 02:29:11.040,0.12,Super Off-Peak,01:29:11.040000,05:29:11.040000,Sunny,1078,0.1,49
180,2024-10-02 02:38:06.720,0.1,Super Off-Peak,23:38:06.720000,07:38:06.720000,Windy,1311,0.09,15
181,2024-10-02 02:47:02.400,0.05,Super Off-Peak,01:47:02.400000,04:47:02.400000,Clear,1362,0.04,40
182,2024-10-02 02:55:58.080,0.07,Off-Peak,20:55:58.080000,08:55:58.080000,Clear,1735,0.09,43
183,2024-10-02 03:04:53.760,0.16,Mid-Peak,01:04:53.760000,08:04:53.760000,Windy,1119,0.14,15
184,2024-10-02 03:13:49.440,0.11,Off-Peak,23:13:49.440000,09:13:49.440000,Rainy,1331,0.12,17
185,2024-10-02 03:22:45.120,0.12,Super Off-Peak,00:22:45.120000,05:22:45.120000,Cloudy,938,0.12,19
186,2024-10-02 03:31:40.800,0.08,Mid-Peak,23:31:40.800000,04:31:40.800000,Clear,1796,0.09,12
187,2024-10-02 03:40:36.480,0.08,Mid-Peak,23:40:36.480000,07:40:36.480000,Windy,1317,0.1,30
188,2024-10-02 03:49:32.160,0.17,Peak,01:49:32.160000,09:49:32.160000,Partly Cloudy,1037,0.18,54
189,2024-10-02 03:58:27.840,0.13,Mid-Peak,03:58:27.840000,06:58:27.840000,Partly Cloudy,1813,0.12,58
190,2024-10-02 04:07:23.520,0.16,Super Off-Peak,23:07:23.520000,09:07:23.520000,Sunny,846,0.16,10
191,2024-10-02 04:16:19.200,0.18,Off-Peak,04:16:19.200000,05:16:19.200000,Cloudy,1437,0.19,56
192,2024-10-02 04:25:14.880,0.07,Peak,00:25:14.880000,09:25:14.880000,Windy,1744,0.09,12
193,2024-10-02 04:34:10.560,0.1,Super Off-Peak,03:34:10.560000,08:34:10.560000,Sunny,811,0.11,27
194,2024-10-02 04:43:06.240,0.15,Off-Peak,04:43:06.240000,07:43:06.240000,Rainy,1562,0.15,43
195,2024-10-02 04:52:01.920,0.12,Peak,01:52:01.920000,06:52:01.920000,Rainy,1382,0.1,44
196,2024-10-02 05:00:57.600,0.17,Mid-Peak,23:00:57.600000,07:00:57.600000,Windy,999,0.15,22
197,2024-10-02 05:09:53.280,0.1,Peak,04:09:53.280000,09:09:53.280000,Cloudy,1844,0.12,18
198,2024-10-02 05:18:48.960,0.14,Peak,04:18:48.960000,11:18:48.960000,Windy,1681,0.13,28
199,2024-10-02 05:27:44.640,0.06,Super Off-Peak,00:27:44.640000,07:27:44.640000,Clear,1540,0.05,43
200,2024-10-02 05:36:40.320,0.09,Mid-Peak,23:36:40.320000,10:36:40.320000,Sunny,1751,0.07,57
201,2024-10-02 05:45:36.000,0.1,Peak,03:45:36,08:45:36,Partly Cloudy,993,0.11,49
202,2024-10-02 05:54:31.680,0.08,Super Off-Peak,00:54:31.680000,10:54:31.680000,Partly Cloudy,874,0.09,36
203,2024-10-02 06:03:27.360,0.11,Mid-Peak,01:03:27.360000,07:03:27.360000,Windy,1048,0.11,16
204,2024-10-02 06:12:23.040,0.07,Peak,06:12:23.040000,11:12:23.040000,Rainy,1856,0.08,10
205,2024-10-02 06:21:18.720,0.17,Mid-Peak,05:21:18.720000,10:21:18.720000,Sunny,894,0.19,23
206,2024-10-02 06:30:14.400,0.19,Mid-Peak,04:30:14.400000,09:30:14.400000,Partly Cloudy,886,0.18,35
207,2024-10-02 06:39:10.080,0.12,Mid-Peak,02:39:10.080000,09:39:10.080000,Cloudy,1587,0.12,41
208,2024-10-02 06:48:05.760,0.13,Mid-Peak,04:48:05.760000,11:48:05.760000,Sunny,1641,0.13,51
209,2024-10-02 06:57:01.440,0.11,Mid-Peak,02:57:01.440000,08:57:01.440000,Windy,1973,0.12,25
210,2024-10-02 07:05:57.120,0.14,Off-Peak,03:05:57.120000,08:05:57.120000,Partly Cloudy,1151,0.14,10
211,2024-10-02 07:14:52.800,0.17,Super Off-Peak,05:14:52.800000,10:14:52.800000,Windy,903,0.16,39
212,2024-10-02 07:23:48.480,0.07,Off-Peak,04:23:48.480000,09:23:48.480000,Windy,1503,0.08,20
213,2024-10-02 07:32:44.160,0.06,Off-Peak,01:32:44.160000,09:32:44.160000,Sunny,972,0.07,60
214,2024-10-02 07:41:39.840,0.09,Off-Peak,07:41:39.840000,08:41:39.840000,Rainy,1186,0.07,39
215,2024-10-02 07:50:35.520,0.16,Peak,07:50:35.520000,13:50:35.520000,Cloudy,1891,0.17,40
216,2024-10-02 07:59:31.200,0.15,Peak,04:59:31.200000,13:59:31.200000,Rainy,905,0.16,52
217,2024-10-02 08:08:26.880,0.17,Super Off-Peak,05:08:26.880000,10:08:26.880000,Sunny,1477,0.16,52
218,2024-10-02 08:17:22.560,0.13,Off-Peak,02:17:22.560000,13:17:22.560000,Clear,1846,0.14,27
219,2024-10-02 08:26:18.240,0.19,Off-Peak,02:26:18.240000,09:26:18.240000,Partly Cloudy,974,0.17,52
220,2024-10-02 08:35:13.920,0.1,Super Off-Peak,03:35:13.920000,13:35:13.920000,Sunny,1538,0.1,32
221,2024-10-02 08:44:09.600,0.16,Super Off-Peak,04:44:09.600000,12:44:09.600000,Windy,1470,0.16,58
222,2024-10-02 08:53:05.280,0.07,Super Off-Peak,07:53:05.280000,11:53:05.280000,Windy,918,0.09,28
223,2024-10-02 09:02:00.960,0.12,Peak,03:02:00.960000,12:02:00.960000,Rainy,878,0.11,35
224,2024-10-02 09:10:56.640,0.11,Super Off-Peak,07:10:56.640000,11:10:56.640000,Cloudy,1467,0.13,58
225,2024-10-02 09:19:52.320,0.1,Peak,08:19:52.320000,10:19:52.320000,Cloudy,932,0.1,11
226,2024-10-02 09:28:48.000,0.12,Mid-Peak,07:28:48,15:28:48,Windy,1739,0.13,36
227,2024-10-02 09:37:43.680,0.15,Peak,04:37:43.680000,12:37:43.680000,Windy,1251,0.15,26
228,2024-10-02 09:46:39.360,0.08,Super Off-Peak,08:46:39.360000,10:46:39.360000,Cloudy,1432,0.07,26
229,2024-10-02 09:55:35.040,0.09,Peak,09:55:35.040000,10:55:35.040000,Rainy,1189,0.08,36
